,BTC / Active Addr Cnt,BTC / Tx Cnt,BTC / Miner Revenue per Hash (USD),BTC / Mean Hash Rate,BTC / 30 Day Volatility,BTC / Realized Market Cap (USD),BTC / Mean Tx Fee (USD),BTC / Exchange Withdrawals (USD),BTC / Exchange Deposits (USD),BTC / NVT,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,LTC / NVT,LTC / Mean Tx Fee (USD),LTC / Realized Market Cap (USD),LTC / 30 Day Volatility,LTC / Mean Hash Rate,LTC / Tx Cnt,LTC / Active Addr Cnt
2013-06-24,,,,,,,,,,,,,,,,,,,,,37.03045227,0.0664232661540513,34901346.622399166,0.067578365165827,0.0232015309086816,4329.0,10498.0
2013-06-25,,,,,,,,,,,,,,,,,,,,,69.27743384,0.0650022869921343,34893915.72341194,0.068425394897438,0.0213123453919918,4248.0,10302.0
2013-06-26,,,,,,,,,,,,,,,,,,,,,72.59411619,0.0847480178853838,35056278.59659242,0.0715435196062382,0.0248707800804213,4847.0,10853.0
2013-06-27,,,,,,,,,,,,,,,,,,,,,40.84580635,0.0773895953927082,35227162.54077934,0.07135554319442,0.0237228979228634,4710.0,11184.0
2013-06-28,,,,,,,,,,,,,,,,,,,,,45.01959772,0.0537598887778382,35189207.78324571,0.0763161302049602,0.0234723264945783,4150.0,10946.0
2013-06-29,,,,,,,,,,,,,,,,,,,,,66.52637701,0.0503708335036612,35265907.98086095,0.0762686584838061,0.0246786146740083,3933.0,9872.0
2013-06-30,,,,,,,,,,,,,,,,,,,,,73.08562509,0.0600839030233167,35434301.91941009,0.0806323946927416,0.0225885691315841,3766.0,10010.0
2013-07-01,,,,,,,,,,,,,,,,,,,,,42.79861525,0.0732197662164926,35518886.336129695,0.0802950555121158,0.0254971107324199,5378.0,12942.0
2013-07-02,,,,,,,,,,,,,,,,,,,,,53.32475761,0.0436242646549728,35646754.781075455,0.0796979386302339,0.0265199532974199,4947.0,12028.0
2013-07-03,,,,,,,,,,,,,,,,,,,,,58.20284292,0.0457899937041825,35695659.63090878,0.0802298923580501,0.0251814067587489,5438.0,12909.0
2013-07-04,,,,,,,,,,,,,,,,,,,,,65.01201407,0.0367131204234192,35745739.34527852,0.0802500387757111,0.0263059869425504,4381.0,11474.0
2013-07-05,,,,,,,,,,,,,,,,,,,,,40.36561683,0.0311593140518708,35684562.20762122,0.0819121036175454,0.0231432297846663,4028.0,10576.0
2013-07-06,,,,,,,,,,,,,,,,,,,,,42.05984035,0.0511869560303606,35720196.05905335,0.0855436923805022,0.0232788346466858,3403.0,9459.0
2013-07-07,,,,,,,,,,,,,,,,,,,,,77.93868402,0.0370391671514574,35753824.966784626,0.0855057078053906,0.0260813351284228,4045.0,10119.0
2013-07-08,,,,,,,,,,,,,,,,,,,,,66.92844971,0.0365207121384289,35754420.93023267,0.0805883111271027,0.0292274755427789,4347.0,10853.0
2013-07-09,,,,,,,,,,,,,,,,,,,,,63.03263377,0.0384478891763745,35915553.581745915,0.0798353102280905,0.027286847539098,4398.0,11154.0
2013-07-10,,,,,,,,,,,,,,,,,,,,,62.42458905,0.0452028928854297,35943251.83087483,0.084079279761274,0.0257226333489586,4134.0,10684.0
2013-07-11,,,,,,,,,,,,,,,,,,,,,54.66300536,0.0545205681902101,36062485.7146308,0.0841261872750771,0.025133698979194,4774.0,11169.0
2013-07-12,,,,,,,,,,,,,,,,,,,,,60.07061397,0.0712734574026979,36040952.23493334,0.0836520796457632,0.0247804961976246,4330.0,10474.0
2013-07-13,,,,,,,,,,,,,,,,,,,,,76.03813389,0.0380049206859955,36098177.73339182,0.0838418262082863,0.0247346063898512,3765.0,9812.0
2013-07-14,,,,,,,,,,,,,,,,,,,,,23.98215341,0.0505160874613695,36141846.31517844,0.0840944742326808,0.0250558350442649,3420.0,9294.0
2013-07-15,,,,,,,,,,,,,,,,,,,,,84.75492164,0.0606133976115619,36331218.98723853,0.0842346683412236,0.0287359284166749,4340.0,10515.0
2013-07-16,,,,,,,,,,,,,,,,,,,,,65.12970442,0.0427151891283959,36496137.26503867,0.0841786674632494,0.0275012893573337,4643.0,11199.0
2013-07-17,,,,,,,,,,,,,,,,,,,,,84.86304412,0.0363526173772028,36590154.86915766,0.0844788028954738,0.0275012893573337,4290.0,10960.0
2013-07-18,,,,,,,,,,,,,,,,,,,,,83.16869992,0.0501676980449064,36657219.05069017,0.0827989763517172,0.0267443871016293,3866.0,10345.0
2013-07-19,,,,,,,,,,,,,,,,,,,,,79.90182267,0.0439318673222371,36745597.74875675,0.0835226213073915,0.0251793184513874,3903.0,10057.0
