,ETH / NVT,ETH / Exchange Deposits (USD),ETH / Exchange Withdrawals (USD),ETH / Mean Tx Fee (USD),ETH / Realized Market Cap (USD),ETH / 30 Day Volatility,ETH / Mean Hash Rate,ETH / Miner Revenue per Hash (USD),ETH / Tx Cnt,ETH / Active Addr Cnt,Google_eth_search,Wiki_eth_search,Close_^DJI,Close_^GSPC,Close_GC=F,Close_^VIX,Close_^IXIC,Close_SMH,Close_VGT,Close_XSD,Close_IYW,Close_FTEC,Close_IGV,Close_QQQ,Google_crypto_search,Wiki_crypto_search,RGDP_US,RGDP_PC_US,CPI_US,M2_US,USD_EUR_rate,ETH-USD
2015-03-05,,,,,,,,,,,0.6363636363636364,,18135.720703125,2101.0400390625,1195.9000244140625,14.039999961853027,4982.81005859375,25.669687271118164,98.20393371582031,42.304630279541016,25.1478271484375,29.943740844726562,19.031566619873047,100.39045715332031,0.02,,18666.621,58121.0,-0.100926,11927.6,1.1006,
2015-03-06,,,,,,,,,,,0.6363636363636364,,17856.779296875,2071.260009765625,1164.0999755859375,15.199999809265137,4927.3701171875,25.34769630432129,97.09553527832031,42.048282623291016,24.876068115234375,29.599246978759766,18.717931747436523,99.25387573242188,0.02,,18666.621,58121.0,-0.100926,11927.6,1.0855,
2015-03-07,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.100926,11927.6,1.0855,
2015-03-08,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.100926,11927.6,1.0855,
2015-03-09,,,,,,,,,,,0.6363636363636364,,17995.720703125,2079.429931640625,1166.4000244140625,15.0600004196167,4942.43994140625,25.258255004882812,97.50101470947266,42.22393035888672,24.987565994262695,29.73522186279297,18.82770538330078,99.54033660888672,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0846,
2015-03-10,,,,,,,,,,,0.6363636363636364,,17662.939453125,2044.1600341796875,1160.0999755859375,16.690000534057617,4859.7900390625,24.743967056274414,95.57264709472656,41.60683059692383,24.47425079345703,29.127832412719727,18.4337100982666,97.69217681884766,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0707,
2015-03-11,,,,,,,,,,,0.6363636363636364,,17635.390625,2040.239990234375,1150.699951171875,16.8700008392334,4849.93994140625,24.927324295043945,95.04999542236328,41.67329406738281,24.33489418029785,28.97371482849121,18.398422241210938,97.12850189208984,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0576,
2015-03-12,,,,,,,,,,,0.6363636363636364,,17895.220703125,2065.949951171875,1152.0999755859375,15.420000076293945,4893.2900390625,24.7886905670166,95.61768341064453,41.88689422607422,24.427791595458984,29.16409683227539,18.60228157043457,97.76612091064453,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0615,
2015-03-13,,,,,,,,,,,0.6363636363636364,,17749.310546875,2053.39990234375,1152.5999755859375,16.0,4871.759765625,24.994403839111328,95.131103515625,41.84891891479492,24.309335708618164,29.00090980529785,18.629722595214844,97.3410415649414,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0524,
2015-03-14,,,,,,,,,,,0.6363636363636364,,,,,,,,,,,,,,0.02,,18666.621,58121.0,-0.100926,11956.1,1.0524,
