,"BTC / Addresses, active, count","BTC / NVT, adjusted, 90d MA","BTC / NVT, adjusted, free float,  90d MA","BTC / NVT, adjusted","BTC / NVT, adjusted, free float","BTC / Flow, in, to exchanges, USD","BTC / Flow, out, from exchanges, USD","BTC / Fees, transaction, mean, USD","BTC / Fees, transaction, median, USD","BTC / Fees, total, USD","BTC / Miner revenue, USD","BTC / Capitalization, market, free float, USD","BTC / Capitalization, realized, USD","BTC / Capitalization, market, current supply, USD","BTC / Capitalization, market, estimated supply, USD","BTC / Volatility, daily returns, 30d","BTC / Volatility, daily returns, 180d","BTC / Difficulty, last","BTC / Difficulty, mean","BTC / Hash rate, mean","BTC / Hash rate, mean, 30d","BTC / Revenue, per hash unit, USD","BTC / Supply, Miner, held by all mining entities, USD","BTC / Block, size, mean, bytes","BTC / Block, weight, mean","BTC / Issuance, continuous, percent, daily",BTC / Network distribution factor,"BTC / Transactions, count","BTC / Transactions, transfers, count","BTC / Transactions, transfers, value, mean, USD"
2009-03-23,130,,,,,,,,,,,,0.0,,,,,1.0,1.0,6.4623350518e-06,5.496298812e-06,,,215.923076923077,863.6923076923077,1.53229608675153,0.999422536539,0,0,
2009-03-24,105,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,5.4697866682e-06,,,215.980952380952,863.9238095238095,1.22249388753056,0.999429595995,0,0,
2009-03-25,117,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.4846997491e-06,,,215.786324786325,863.1452991452992,1.34390075809786,0.999437261659,0,0,
2009-03-26,146,,,315.10714286,315.10714286,,,,,,,,0.0,,,,,1.0,1.0,5.8161015466e-06,5.502926848e-06,,,243.606837606838,974.4273504273503,1.32607956477389,0.999444724017,1,1,
2009-03-27,106,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2692885807e-06,5.5045838569e-06,,,215.952830188679,863.811320754717,1.18714301713518,0.999451315937,0,0,
2009-03-28,140,,,452.4,452.4,,,,,,,,0.0,,,,,1.0,1.0,5.9155220859e-06,5.5244679648e-06,,,236.235294117647,944.9411764705884,1.31520778072502,0.999458532272,3,3,
2009-03-29,116,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.766391277e-06,5.5261249738e-06,,,215.965517241379,863.8620689655172,1.26582278481013,0.999465386294,0,0,
2009-03-30,120,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.9652323555e-06,5.5609221625e-06,,,215.85,863.4,1.292546316243,0.999472296424,0,0,
2009-03-31,143,,,293.5625,293.5625,,,,,,,,0.0,,,,,1.0,1.0,5.4681296592e-06,5.5692072075e-06,,,249.518181818182,998.0727272727272,1.17096018735363,0.999478475623,1,1,
2009-04-01,114,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6669707377e-06,5.5791492614e-06,,,215.842105263158,863.3684210526316,1.19899032393774,0.99948472865,0,0,
2009-04-02,115,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,5.5957193513e-06,,,215.904347826087,863.6173913043478,1.19505351761405,0.999490886418,0,0,
2009-04-03,116,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.766391277e-06,5.6156034591e-06,,,215.931034482759,863.7241379310345,1.19108738063456,0.999496950406,0,0,
2009-04-04,113,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.6172604681e-06,5.6172604681e-06,,,215.761061946903,863.0442477876106,1.14697523345514,0.99950272026,0,0,
2009-04-05,148,,,587.17647059,587.17647059,,,,,,,,0.0,,,,,1.0,1.0,6.4623350518e-06,5.6388015849e-06,,,231.553846153846,926.2153846153848,1.30234421959527,0.999409677419,2,2,
2009-04-06,109,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.4184193896e-06,5.6388015849e-06,,,215.981651376147,863.9266055045872,1.08017044891487,0.056793955009,0,0,
2009-04-07,100,,,,,,,,,,,,0.0,,,,,1.0,1.0,4.9710269629e-06,5.6139464501e-06,,,215.99,863.96,0.981257972721028,0.056236659798,0,0,
2009-04-08,105,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.2195783111e-06,5.6089754232e-06,,,216.0,864.0,1.01981351981352,0.055663150738,0,0,
2009-04-09,99,,,,,,,,,,,,0.0,,,,,1.0,1.0,4.9213166933e-06,5.5957193513e-06,,,215.737373737374,862.9494949494949,0.952380952380952,0.055133025493,0,0,
2009-04-10,108,,,,,,,,,,,,0.0,,,,,1.0,1.0,5.36870912e-06,5.5857772973e-06,,,215.935185185185,863.7407407407408,1.02827763496144,0.054467066552,0,0,
2009-04-11,128,,,1517.57142857,1517.57142857,,,,,,,,0.0,,,,,1.0,1.0,5.9652323555e-06,5.5890913153e-06,,,223.341666666667,893.3666666666667,1.12962439988704,0.054510740845,1,1,
2009-04-12,127,,,565.31578947,565.31578947,,,,,,,,0.0,,,,,1.0,1.0,5.8658118162e-06,5.5973763602e-06,,,224.71186440678,898.8474576271186,1.09859417186482,0.054470496229,2,2,
2009-04-13,117,,,54280.0,54280.0,,,,,,,,0.0,,,,,1.0,1.0,5.7166810074e-06,5.6056614052e-06,,,217.965217391304,871.8608695652174,1.0593220338983,0.053893478261,1,1,
